Book_ID,Member_ID,Checkout_Date,Return_Date,Reserved_By
20046,0145,2022-11-01,2022-11-04,    
00160,7622,2022-11-01,2022-11-05,2378
10256,7622,2022-11-01,2022-11-10,
31502,8325,2022-11-02,2022-11-14,
01032,9923,2022-11-02,2022-11-09,
10257,0928,2022-11-03,2022-11-09,
65418,8232,2022-11-03,2022-11-10,
34623,7611,2022-11-03,2022-11-11,
51383,2378,2022-11-04,2022-11-08,
45587,2378,2022-11-04,2022-11-05,
91783,0928,2022-11-04,2022-11-09,
18194,1361,2022-11-04,2022-11-11,3533
24682,6822,2022-11-05,2022-11-16,
61148,0145,2022-11-05,2022-11-11,
00160,2378,2022-11-05,2022-11-12,
20932,4239,2022-11-07,2022-11-12,
03746,9564,2022-11-07,2022-11-10,5595
25942,9115,2022-11-07,2022-11-21,7200
20046,5456,2022-11-08,2022-11-19,
51383,4308,2022-11-08,2022-11-12,
45587,5343,2022-11-09,2022-11-14,
81745,5343,2022-11-09,2022-11-16,
10257,3782,2022-11-10,2022-11-18,
03746,5595,2022-11-11,2022-11-15,6822
52174,1126,2022-11-11,2022-11-15,
18194,3533,2022-11-12,2022-11-16,
51383,0903,2022-11-12,2022-11-17,2669
65418,0903,2022-11-12,2022-11-17
10256,8239,2022-11-12,2022-11-18
20932,6678,2022-11-14,2022-11-25,
34623,2586,2022-11-14,2022-11-21,
44218,5114,2022-11-15,2022-11-28,
61148,3072,2022-11-15,2022-11-25,6690
01032,2387,2022-11-15,2022-11-18,
03746,6822,2022-11-16,2022-11-23,7875
77327,0003,2022-11-16,2022-11-19
45587,0733,2022-11-17,2022-11-29,
81745,8243,2022-11-17,2022-11-21,
51383,2669,2022-11-18,2022-11-28,
24682,1806,2022-11-18,2022-11-21,7433
18194,0928,2022-11-19,2022-11-30,
52174,4664,2022-11-19,2022-11-24,
31502,1827,2022-11-19,2022-11-28,
63741,4664,2022-11-19,2022-11-24
10257,2378,2022-11-21,2022-11-28,
65418,3680,2022-11-21,2022-12-01,4006
81745,0024,2022-11-22,          ,
10256,1126,2022-11-22,2022-11-26
20046,7894,2022-11-23,2022-11-26,
25942,7200,2022-11-23,          ,
34623,4006,2022-11-23,2022-12-01,2551
24682,7433,2022-11-24,2022-12-02,2971
77327,1827,2022-11-25,          ,
20932,7894,2022-11-26,          ,
03746,7875,2022-11-26,          ,2378
61148,6690,2022-11-26,          ,8032
01032,6329,2022-11-28,          ,
20046,4223,2022-11-29,          ,
10257,4006,2022-12-01,          ,0000
65418,4006,2022-12-01,          ,



















